NAME,TIPLOC,EASTING,NORTHING
Aberdeen,ABRDEEN,394132,805809
Aberdour,ABDO,319127,685446
Achanalt,ACHANLT,226021,861475
Achnasheen,ACHNSHN,216423,858538
Achnashellach,ACHHSHL,200299,848445
Addiewell,ADIEWEL,299489,662294
Airbles,AIRBLES,275004,656114
Airdrie,AIRDRIE,276044,665216
Alexandra Parade,ALXPD,261748,665614
Alexandria,ALXANDR,239311,679931
Alloa,ALLOA,288520.5313,693086.1875
Alness,ALNESS,265987,869403
Altnabreac,ALTNBRC,300349,945685
Anderston,ANDRSTN,258001,665283
Annan,ANNAN,319277,566166
Anniesland,ANSL,254909,668758
Arbroath,ARBROTH,363894,741029
Ardgay,ARDGAY,260056,890400
Ardlui,ARDLUI,231727,715436
Ardrossan Harbour,ARDRSHB,222523,642108
Ardrossan South Beach,ARDRSSB,223867,642162
Ardrossan Town,ARDRSTN,223084,642077
Argyle Street,ARGYLST,259523,664932
Arisaig,ARISAIG,166418,786740
Armadale,ARMDALE,294101,667176
Arrochar & Tarbet,ARCHRAT,231183,704533
Ashfield,ASFIELD,259495,668471
Attadale,ATADALE,192461,839088
Auchinleck,ACHILCK,254956,621957
Aviemore,AVIEMRE,289581,812350
Ayr,AYRR,234061,621402
Baillieston,BALISTN,267738,663274
Balloch,BALLOCH,239004,681849
Balmossie,BALMOSS,348465,731722
Banavie,BANAVIE,211275,776757
Barassie,BARASIE,232897,632865
Bargeddie,BRGDDIE,270291,663964
Barnhill,BNHL,260978,667233
Barrhead,BRHD,249892,659378
Barrhill,BRRHL,222580,581643
Barry Links,BRRYLNK,354226,733719
Bathgate,BTHGATE,297485,668615
Bearsden,BSDN,254310,671772
Beasdale,BEASDAL,170925,785059
Beauly,BEAULY,252104,845707
Bellgrove,BLGRVE,260859,664853
Bellshill,BLSHL,273245,660056
Berwick-upon-Tweed,BRWCKUT,399395,653420
Bishopbriggs,BSHB,261009,670100
Bishopton,BISHPTN,243748,670521
Blackridge,BLKRDGE,289727.7813,666771.875
Blair Atholl,BLARATH,287027,765271
Blairhill,BLAIRHL,272265,665591
Blantyre,BLANTYR,269296,657948
Bogston,BOGSTON,230651,674903
Bowling,BOWLING,244302,673695
Branchton,BRNCHTN,224973,675486
Breich,BREICH,295647,660620
Bridge of Allan,BGOALAN,278524,697676
Bridge of Orchy,BOORCHY,230038,739419
Bridgeton,BRIDGTN,260728,663999
Brora,BRORA,290658,904133
Broughty Ferry,BRFRY,346247,730955
Brunstane,BRUSTAN,331326,672718
Burnside,BRSDE,262054,660382
Burntisland,BISLND,323288,685628
Busby,BUSBY,258222,656390
Caldercruix,CLDRCRX,281676,667774
Cambuslang,CMBSLNG,263900,660636
Camelon,CAMELON,286763,680738
Cardenden,CDND,321691,694962
Cardonald,CDNL,253659,664633
Cardross,CDRS,234493,677313
Carfin,CARFIN,277502,658889
Carlisle,CARLILE,340221,555454
Carlisle Citadel,CARLILE,340221,555454
Carluke,CRLK,284040,650130
Carmyle,CARMYLE,264928,662221
Carnoustie,CNST,356660,734508
Carntyne,CNTY,263682,664559
Carrbridge,CARRBDG,289888,822457
Carstairs,CRSTRS,295276,645431
Cartsdyke,CRTSDYK,229475,675490
Cathcart,CCRT,258451,660573
Charing Cross (Glasgow),CHRNGXG,258035,665833
Chatelherault,CHTLRT,274316,654267
Clarkston,CLRKSTN,257424,657461
Cleland,CLELAND,280372,658444
Clydebank,CLYBANK,249775,670116
Coatbridge Central,COATBDC,272899,665200
Coatbridge Sunnyside,COATBDS,273216,665605
Coatdyke,COATDYK,274652,665270
Connel Ferry,CONNELF,191614,734053
Conon Bridge,CONONBR,254104,855026
Corkerhill,CKHL,253933,662908
Corpach,CORPACH,209703,776708
Corrour,CORROUR,235597,766427
Cowdenbeath,CWDNBTH,316564,691808
Craigendoran,CRGDRN,231013,681255
Crianlarich,CRNLRCH,238460,725100
Croftfoot,CFFT,260472,660584
Crookston,CROKSTN,251987,663531
Crosshill,CROSSHL,258727,662339
Crossmyloof,CRSMYLF,256960,662395
Croy,CROY,272937,675472
Culrain,CULRAIN,257675,894751
Cumbernauld,CMBRNLD,276375,673844
Cupar,CUPAR,337685,714317
Curriehill,CURRIEH,317616,668251
Dalgety Bay,DALGETY,314312,684114
Dalmally,DLMALLY,216000,727191
Dalmarnock,DLMRNOK,261242,663248
Dalmeny,DLMY,313908,677898
Dalmuir,DALMUIR,248370,671447
Dalreoch,DLREOCH,239141,675704
Dalry,DALRY,229728,649102
Dalwhinnie,DALWHIN,263430,784938
Dingwall,DINGWAL,255318,858586
Drem,DREMJ,351089,679401
Drumchapel,DRMCHPL,252339,670490
Drumfrochar,DRMFCHR,227005,675491
Drumgelloch,DRMGLCH,277715,665369
Drumry,DRUMRY,250956,670510
Duirinish,DUIRNSH,177853,831525
Duke Street,DUKEST,261623,665062
Dumbarton Central,DMBRTNC,239770,675591
Dumbarton East,DMBRTNE,240581,675114
Dumbreck,DUMBRCK,256024,663686
Dumfries,DUMFRES,297656,576519
Dunbar,DUNBAR,368079,678464
Dunblane,DUNANE,278087,701002
Duncraig,DUNCRAG,181175,833184
Dundee,DUNDETB,340241,729816
Dunfermline Queen Margaret,DNFRMQM,312771,688818
Dunfermline Town,DNFRMLE,309707,687108
Dunkeld & Birnam,DUNKELD,303082,741663
Dunlop,DNLP,240983,649339
Dunrobin Castle,DNROBIN,284855,901251
Dyce,DYCE,388458,812783
East Kilbride,EKILBRD,263264,654670
Easterhouse,ESHS,268275,664970
Edinburgh,EDINBUR,325783,673840
Edinburgh Gateway,EDINGWY,317478.8425,672857.0827
Edinburgh Park,EDINPRK,318362,671283
Elgin,ELGIN,321819,862187
Eskbank,ESKBANK,332359,666400
Exhibition Centre,EXHIBTC,257185,665486
Fairlie,FAIRLIE,221031,654604
Falkirk Grahamston,FALKRKG,288741,680268
Falkirk High,FALKRKH,288299,679083
Falls of Cruachan,FLSCRHN,207960,726775
Fauldhouse,FAULDHS,292365,660133
Fearn,FEARN,281482,878170
Forres,FORRES,302956,858926
Forsinard,FORSNRD,289091,942497
Fort Matilda,FRTMTLD,225615,677521
Fort William,FRTWLM,210556,774184
Galashiels,GALASLS,349444,636118
Garelochhead,GRLCHHD,224263,691053
Garrowhill,GARROWH,266820,664517
Garscadden,GSCD,252236,668562
Gartcosh,GRTCSH,270078,667769
Garve,GARVE,239502,861308
Georgemas Junction,GRGMASJ,315471,959269
Giffnock,GIFNOCK,256373,659157
Gilshochill,LAMBH,257398,669472
Girvan,GIRVAN,219040,598386
Glasgow Central,GLGC,258772,665117
Glasgow Central Low Level,GLGCLL,258772,665117
Glasgow Queen Street,GLGQHL,259205,665546
Glasgow QS Low Level,GLGQLL,259205,665546
Gleneagles,GLNEGLS,292908,710508
Glenfinnan,GLNFNNN,189876,780987
Glengarnock,GLGN,232139,652729
Glenrothes With Thornton,GLNRTHS,328888,697193
Golf Street,GOLFSTR,355801,734230
Golspie,GOLSPIE,282529,899712
Gorebridge,GOREBRG,334573,661323
Gourock,GOUROCK,224306,677939
Greenfaulds,GRNFLDS,275573,673128
Greenock Central,GRENCKC,228250,675882
Greenock West,GRENCKW,227242,676167
Gretna Green,GRETGRN,331719,567846
Hairmyres,HARMYRS,260789,654297
Hamilton Central,HAMLTNC,272169,655188
Hamilton West,HAMLTNW,271200,655890
Hartwood,HRTW,284834,659073
Hawkhead,HWKHEAD,249849,663589
Haymarket,HAYMRKT,323982,673144
Helensburgh Central,HLNSBRC,229820,682342
Helensburgh Upper,HLNSBRU,229822,683323
Helmsdale,HELMSDL,302316,915560
High Street (Glasgow),GLGHST,259900,665174
Hillfoot,HLFT,255134,672126
Hillington East,HLNGTNE,252679,664847
Hillington West,HLNGTNW,251703,665058
Holytown,HOLYTWN,276419,659467
Howwood (Renfrewshire),HOWOOD,239531,660461
Huntly,HNTL,353522,839594
Hyndland,HYNDLND,255310,667602
IBM,IBMM,223465,674310
Insch,INSCH,362999,827581
Invergordon,IVRGRD,270423,868656
Invergowrie,INVGWRE,334929,729878
Inverkeithing,IVRKTHG,313149,683320
Inverkip,INVERKP,220494,671840
Inverness,IVRNESS,266777,845463
Invershin,INVRSHN,257966,895334
Inverurie,INVURIE,377569,821851
Irvine,IRVN,231628,638506
Johnstone,JOHNSTN,243312,662944
Jordanhill,JORDANH,254688,667944
Keith,KEITH,342982,851659
Kelvindale,DAWSHLM,255612,669119
Kennishead,KENISHD,254406,660234
Kildonan,KILDONN,290153,921767
Kilmarnock,KILMRNK,242676,638279
Kilmaurs,KLMAURS,240813,641036
Kilpatrick,KLPTRCK,246831,672838
Kilwinning,KILWNNG,229627,643702
Kinbrace,KINBRAC,286192,931625
Kinghorn,KGHN,326986,686879
Kings Park,KGPK,259330,660762
Kingsknowe,KNGW,321106,670274
Kingussie,KGUSSIE,275638,800405
Kirkcaldy,KCLD,327517,691613
Kirkconnel,KRKC,273428,612224
Kirkhill,KRKH,264238,660007
Kirknewton,KRKNWTN,310479,667144
Kirkwood,KRKWOOD,271840,664232
Kyle of Lochalsh,KYLELSH,176245,827138
Ladybank,LADYBNK,330648,709633
Lairg,LAIRG,258249,903901
Lanark,LANARK,288573,643662
Langbank,LGBK,238555,673164
Langside,LNSD,257469,660985
Larbert,LARBERT,286051,682609
Largs,LARGS,220317,659270
Larkhall,LARKHAL,276077,651276
Laurencekirk Station,LRNCKRK,371701.8438,771799.0625
Lenzie,LENZIE,265480,671896
Leuchars (for St Andrews),LEUCHRS,344904,720673
Linlithgow,LNLTHGW,300508,677080
Livingston North,LVNSTNN,303535,668648
Livingston South,LVNSTNS,306145,665291
Loch Awe,LOCHAWE,212415,727450
Loch Eil Outward Bound,LCEILOB,205434,778315
Lochailort,LCHALRT,176898,782633
Locheilside,LCHESDE,199488,778662
Lochgelly,LCHGLLY,318536,694389
Lochluichart,LCHLCHR,232321,862560
Lochwinnoch,LCHWNCH,236035,657912
Lockerbie,LCKRBIE,313771,581716
Longniddry,LNGNDRY,344630,676270
Mallaig,MLAIG,167534,797038
Markinch,MKIN,329917,701383
Maryhill,MRYHILL,256182,669530
Maxwell Park,MAXWLPK,256754,662857
Maybole,MAYBOLE,229853,610031
Merryton,MRRYTON,275972,652420
Milliken Park,MILKNPK,241339,661963
Milngavie,MLGV,255530,674468
Monifieth,MONIFTH,349685,732256
Montrose,MONTRSE,371193,758022
Morar,MORAR,167784,792921
Mosspark,MSSPARK,253043,663337
Motherwell,MOTHRWL,274968,657293
Mount Florida,MTFL,258456,661592
Mount Vernon,MNTVRNN,266520,662853
Muir of Ord,MUROORD,252748,850115
Muirend,MUIREND,257599,659769
Musselburgh,MSELBGH,333059,671701
Nairn,NAIRN,288127,855986
Neilston,NEILSTN,247855,657048
New Cumnock,NWCMNCK,261763,614206
Newcastle,NWCSTLE,424621,563801
Newcraighall,NCRAGHA,331948,671655
Newton,NWTL,266445,660474
Newton (Lanarkshire),NWTL,266445,660474
Newtongrange,NWTGRNG,333207,663707
Newtonmore,NWTM,271597,798453
Newton-on-Ayr,NWTOA,234110,623193
Nitshill,NITSH,252179,660148
North Berwick,NBERWCK,354620,685151
North Queensferry,NQNSFRY,313115,680889
Oban,OBAN,185748,729868
Paisley Canal,PSLYCAN,248321,663422
Paisley Gilmour Street,PSLYGST,248311,664234
Paisley St James,PSLYSTJ,247225,664780
Partick,PTCK,255591,666494
Patterton,PATERTN,253710,657732
Perth,PERTH,311292,722913
Pitlochry,PTLCHRY,293804,758094
Plockton,PLOCKTN,179435,832934
Pollokshaws East,PLKSHWE,256803,661447
Pollokshaws West,PLKSHWW,255928,661364
Pollokshields East,PLKLHDE,258006,663160
Pollokshields West,PLKLHDW,257644,662849
Polmont,POLMONT,293067,678184
Port Glasgow,PTGLSGW,232058,674421
Portlethen,PLTH,392324,796686
Possilpark & Parkhouse,POSILPK,258908,668632
Prestonpans,PPAN,339292,673773
Prestwick International Airport,PWCKAPT,235015,627026
Prestwick Town,PWCK,234975,626235
Priesthill & Darnley,PHLD,253280,660126
Queens Park (Glasgow),QUNPARK,258118,662562
Rannoch,RANNOCH,242257,757902
Renton,RENTON,238685,678286
Rogart,ROGART,272489,901969
Rosyth,ROSYTH,311249,684528
Roy Bridge,ROYBDGE,227248,781037
Rutherglen,RTHGLEN,261558,661869
Saltcoats,SLCT,224814,641330
Sanquhar,SANQHAR,278077,610317
Scotscalder,SCSCLDR,309553,955990
Scotstounhill,SCTSTNH,252948,668256
Shawfair,SHWFAIR,332397,670669
Shawlands,SHWLNDS,256515,661921
Shettleston,SHTLSTN,264880,664384
Shieldmuir,SHILDMR,277349,655487
Shotts,SHTT,287352,659820
Singer,SINGER,249710,670887
Slateford,SLATEFD,322412,671118
South Gyle,STHGYLE,318895,672272
Spean Bridge,SPEANBD,222186,781423
Springburn,SPRNGBN,260614,667639
Springfield,SPFD,334946,711898
Stepps,STEPPS,266194,668402
Stevenston,STVNSTN,226973,641285
Stewarton,STEWRTN,241776,646054
Stirling,STIRLNG,279801,693596
Stoenhaven,SHVN,386408,786214
Stonehaven,SHVN,386408,786214
Stow,STOW,345563,644697
Stranraer,STRNRR,206223,561344
Strathcarron,STCN,194246,842156
Stromeferry,STRMFRY,186530,834639
Summerston,SUMRSTN,256797,669676
Tain,TAIN,278177,882396
Taynuilt,TAYNULT,200289,731232
Thornliebank,THLB,255247,659926
Thorntonhall,THAL,258916,655050
Thurso,THURSO,311293,967899
Troon,TROON,232530,630900
Tulloch,TULLOCH,235486,780217
Tweedbank,TWDBANK,352423,634893
Tyndrum Lower,TYNDRML,232753,730146
Uddingston,UDNGSTN,269386,660896
Uphall,UPHALL,306220,670566
Upper Tyndrum,TYNDRMU,233389,730205
Wallyford,WALLYFD,336603,672338
Wemyss Bay,WEMYSSB,219344,668575
West Calder,WCALDER,301946,663370
West Kilbride,WKILBRD,220899,648492
Wester Hailes,WHAILES,319805,669757
Westerton,WESTRTN,254103,670441
Whifflet,WHIFLET,273751,664128
Whinhill,WHINH,228535,675120
Whitecraigs,WTCR,255205,657630
Wick,WICK,336025,950890
Williamwood,WMWD,256530,658005
Wishaw,WISHAW,279221,654917
Woodhall,WHHL,234179,674104
Yoker,YOKER,250807,669218
